Details,Translate_Details,Area,Contractor,Type_of_finding,Topic,Clean_Details,Clean_Translate_Details
ใช้ผ้าใบมุงหลังคาHotBox,Use HotBox roofing canvas.,HOT,RNC,Unsafe Condition,Hot Work,ใช้ผ้าใบมุงหลังคาHotBox,Use HotBox roofing canvas.
ใช้ยูโรเทปปิดกั้นพื้นที่แทนธงแดง,Use euro tape to block the area instead of red flags.,HOT,RNC,Unsafe Condition,Scaffolding,ใช้ยูโรเทปปิดกั้นพื้นที่แทนธงแดง,Use euro tape to block the area instead of red flags.
ใช้รอกต๋งอุปกรณ์แนวระนาบ,Use a horizontal hoist,HOT,RNC,Unsafe Condition,Lifting,ใช้รอกต๋งอุปกรณ์แนวระนาบ,Use a horizontal hoist
ใช้ลวดมัดHeaderBeamชั้น,Use the wire to tie the HeaderBeam layer.,HOT,RNC,Unsafe Condition,Others,ใช้ลวดมัดHeaderBeamชั้น,Use the wire to tie the HeaderBeam layer.
ใช้สลิงผ้าใบป.ปลาเฉือนมุมแหลมคมทำให้สลิงผ้าใบขาด,Use the Por Pla canvas sling to slash sharp angles causing the canvas sling to be torn.,HOT,RNC,Unsafe Condition,Lifting,ใช้สลิงผ้าใบป.ปลาเฉือนมุมแหลมคมทำให้สลิงผ้าใบขาด,Use the Por Pla canvas sling to slash sharp angles causing the canvas sling to be torn.
ใช้สลิงผ้าใบมีขนาดต๋งPipeทำให้ปลายสลิงผ้าใบด้านคล้องตะขอ,Use a canvas sling with a pipe size to make the end of the canvas sling hooked.,HOT,RNC,Unsafe Condition,Lifting,ใช้สลิงผ้าใบมีขนาดต๋งPipeทำให้ปลายสลิงผ้าใบด้านคล้องตะขอ,Use a canvas sling with a pipe size to make the end of the canvas sling hooked.
ใช้สลิงผ้าใบมีสภาพชำรุดต๋งPipe,"Using a canvas sling with a damaged condition, Dong Pipe",HOT,RNC,Unsafe Condition,Lifting,ใช้สลิงผ้าใบมีสภาพชำรุดต๋งPipe,"Using a canvas sling with a damaged condition, Dong Pipe"
ใช้หินเจียรปัดแต่งแนวเชื่อมปิดล้อมผ้าไฟ,Use a grinding stone to decorate the weld line to enclose the light cloth.,HOT,RNC,Unsafe Condition,Hot Work,ใช้หินเจียรปัดแต่งแนวเชื่อมปิดล้อมผ้าไฟ,Use a grinding stone to decorate the weld line to enclose the light cloth.
ไฟดับ,power cut,HOT,RNC,Unsafe Condition,Electrical & Grounding,ไฟดับ,power cut
ไฟด้านในCSEดับ,The light inside the CSE is off.,HOT,RNC,Unsafe Condition,CSE,ไฟด้านในCSEดับ,The light inside the CSE is off.
ไฟสปอตไลท์กีดขวางพื้นที่ปฏิบัติงานใช้งาน,Spotlights block the working area.,HOT,RNC,Unsafe Condition,Housekeeping,ไฟสปอตไลท์กีดขวางพื้นที่ปฏิบัติงานใช้งาน,Spotlights block the working area.
Updateได้ลงข้อมูลตรวจสอบChecklistตู้Panel,Update has posted information to check the Checklist Cabinet Panel.,HOT,RNC,Unsafe Condition,Electrical & Grounding,Updateได้ลงข้อมูลตรวจสอบChecklistตู้Panel,Update has posted information to check the Checklist Cabinet Panel.
ใส่น็อตฝาTopTLE,Insert the TopTLE cap nut,HOT,RNC,Unsafe Condition,Others,ใส่น็อตฝาTopTLE,Insert the TopTLE cap nut
จัดเก็บเศษInsulationชั้น,Collecting debris Insulation layer,HOT,RNC,Unsafe Condition,Housekeeping,จัดเก็บเศษInsulationชั้น,Collecting debris Insulation layer
ติดตั้งGuardป้องกันอุปกรณ์Emergency,Install a Guard to protect the Emergency device.,HOT,RNC,Unsafe Condition,Others,ติดตั้งGuardป้องกันอุปกรณ์Emergency,Install a Guard to protect the Emergency device.
ติดตั้งTemporaryHandrailหลังคาเตา,Install the Temporary Handrail on the roof of the stove.,HOT,RNC,Unsafe Condition,Work at height,ติดตั้งTemporaryHandrailหลังคาเตา,Install the Temporary Handrail on the roof of the stove.
ติดตั้งToeboardช่องเปิดด้านบนหลังคาเตาชั้น,Install toeboard openings above the roof of the stove top.,HOT,RNC,Unsafe Condition,Work at height,ติดตั้งToeboardช่องเปิดด้านบนหลังคาเตาชั้น,Install toeboard openings above the roof of the stove top.
ติดตั้งตาข่ายตก,install a falling net,HOT,RNC,Unsafe Condition,Work at height,ติดตั้งตาข่ายตก,install a falling net
ปิดล้อมพื้นที่งานยกอุปกรณ์ขึ้นรถเฮี้ยบ,Enclose the work area to lift equipment into the car,HOT,RNC,Unsafe Condition,Lifting,ปิดล้อมพื้นที่งานยกอุปกรณ์ขึ้นรถเฮี้ยบ,Enclose the work area to lift equipment into the car
ปิดล้อมพื้นที่ด้านล่างขนย้ายนั่งร้านด้านบน,Enclose the area below the top scaffold transporter.,HOT,RNC,Unsafe Condition,Scaffolding,ปิดล้อมพื้นที่ด้านล่างขนย้ายนั่งร้านด้านบน,Enclose the area below the top scaffold transporter.
ผูกมัดแผ่นPlateรองขานั่งร้าน,Bonded Plate Scaffolding Leg Support Plate,HOT,RNC,Unsafe Condition,Scaffolding,ผูกมัดแผ่นPlateรองขานั่งร้าน,Bonded Plate Scaffolding Leg Support Plate
ผูกมัดแผ่นนั่งร้านนำมาวางพาดเป็นทางเดิน,Bonded scaffolding sheets to be placed across a walkway.,HOT,RNC,Unsafe Condition,Scaffolding,ผูกมัดแผ่นนั่งร้านนำมาวางพาดเป็นทางเดิน,Bonded scaffolding sheets to be placed across a walkway.
มีbaseplatepackนั่งร้าน,with baseplatepack scaffolding,HOT,RNC,Unsafe Condition,Scaffolding,มีbaseplatepackนั่งร้าน,with baseplatepack scaffolding
มีChecklistตรวจสอบตู้ไฟใช้งาน,There is a checklist to check the electrical cabinet.,HOT,RNC,Unsafe Condition,Electrical & Grounding,มีChecklistตรวจสอบตู้ไฟใช้งาน,There is a checklist to check the electrical cabinet.
มีSafetySlingคล้องสายท่อArgon,There is a SafetySling strap on the Argon hose.,HOT,RNC,Unsafe Condition,Tools & Equipment,มีSafetySlingคล้องสายท่อArgon,There is a SafetySling strap on the Argon hose.
มีเชือกคล้องเกี่ยวประแจนำมาใช้งาน,There is a rope to attach a wrench to use.,HOT,RNC,Unsafe Condition,Work at height,มีเชือกคล้องเกี่ยวประแจนำมาใช้งาน,There is a rope to attach a wrench to use.
มีเชือกผูกมัดประแจ,with a rope to tie a wrench,HOT,RNC,Unsafe Condition,Work at height,มีเชือกผูกมัดประแจ,with a rope to tie a wrench
มีเทปsafetyslingสะบัดคล้องจุดconnectline,There is a safety sling tape attached to the connectline point.,HOT,RNC,Unsafe Condition,Hot Work,มีเทปsafetyslingสะบัดคล้องจุดconnectline,There is a safety sling tape attached to the connectline point.
มีไม้หนุนล้อเฮี้ยบงานยกอุปกรณ์,There is a wooden supporting wheel for lifting equipment.,HOT,RNC,Unsafe Condition,Lifting,มีไม้หนุนล้อเฮี้ยบงานยกอุปกรณ์,There is a wooden supporting wheel for lifting equipment.
มีการติดตั้งHardBarricadeป้องกันการตกชั้น,HardBarricade is installed to prevent falling.,HOT,RNC,Unsafe Condition,Work at height,มีการติดตั้งHardBarricadeป้องกันการตกชั้น,HardBarricade is installed to prevent falling.
มีตาข่ายมีป้ายเตือนปิดทางเข้าออกFireBoxAccessdoorมีการใช้งาน,There is a net with a warning sign to close the entrance FireBoxAccessdoor is in use.,HOT,RNC,Unsafe Condition,CSE,มีตาข่ายมีป้ายเตือนปิดทางเข้าออกFireBoxAccessdoorมีการใช้งาน,There is a net with a warning sign to close the entrance FireBoxAccessdoor is in use.
มีถุงคลุมป้องกันสิ่งท่อ,There is a protective bag to protect the pipes.,HOT,RNC,Unsafe Condition,Housekeeping,มีถุงคลุมป้องกันสิ่งท่อ,There is a protective bag to protect the pipes.
มีป้ายเตือนงานHWI,There is a warning sign for HWI work.,HOT,RNC,Unsafe Condition,Hot Work,มีป้ายเตือนงานHWI,There is a warning sign for HWI work.
มีป้ายเตือนระวังความร้อนในงานPostweldheat,There is a heat warning sign at Postweldheat.,HOT,RNC,Unsafe Condition,Hot Work,มีป้ายเตือนระวังความร้อนในงานPostweldheat,There is a heat warning sign at Postweldheat.
มีป้ายเตือนระวังศีรษะชนนั่งร้าน,There is a warning sign to be careful of the head hitting the scaffolding.,HOT,RNC,Unsafe Condition,Scaffolding,มีป้ายเตือนระวังศีรษะชนนั่งร้าน,There is a warning sign to be careful of the head hitting the scaffolding.
มีป้ายแสดงงานHWI,There is a sign showing the HWI event.,HOT,RNC,Unsafe Condition,Hot Work,มีป้ายแสดงงานHWI,There is a sign showing the HWI event.
มีป้ายงานHWIถังดับเพลิงStandbyหน้างาน,There is a sign for HWI work. Fire extinguisher Standby in front of the event.,HOT,RNC,Unsafe Condition,Hot Work,มีป้ายงานHWIถังดับเพลิงStandbyหน้างาน,There is a sign for HWI work. Fire extinguisher Standby in front of the event.
มีผ้าบาดสายไฟManholeFireBox,There is a wire cut cloth ManholeFireBox.,HOT,RNC,Unsafe Condition,CSE,มีผ้าบาดสายไฟManholeFireBox,There is a wire cut cloth ManholeFireBox.
มีผ้าสลิงผ้าใบ,with canvas sling,HOT,RNC,Unsafe Condition,Lifting,มีผ้าสลิงผ้าใบ,with canvas sling
มีผ้าสลิงผ้าใบบาดงานRemoveInletCoil,"There is a cut canvas sling fabric, RemoveInletCoil work.",HOT,RNC,Unsafe Condition,Lifting,มีผ้าสลิงผ้าใบบาดงานRemoveInletCoil,"There is a cut canvas sling fabric, RemoveInletCoil work."
กระเช้าใส่Clampนั่งร้านใช้เครนยกขึ้นไปวางชั้นมีเอกสารคำนวณมีป้ายแสดงน้ำหนักรับได้SWL,"Baskets for Scaffolding Clamp, use a crane to lift up to put on the floor. There is a calculation document. There is a label showing the load capacity. SWL.",HOT,RNC,Unsafe Condition,Lifting,กระเช้าใส่Clampนั่งร้านใช้เครนยกขึ้นไปวางชั้นมีเอกสารคำนวณมีป้ายแสดงน้ำหนักรับได้SWL,"Baskets for Scaffolding Clamp, use a crane to lift up to put on the floor. There is a calculation document. There is a label showing the load capacity. SWL."
กระเช้านำมาใช้งานมีขอบกันกระแทก,Baskets are used with shockproof edges.,HOT,RNC,Unsafe Condition,Lifting,กระเช้านำมาใช้งานมีขอบกันกระแทก,Baskets are used with shockproof edges.
กระป๋องน้ำมันWDจัดเก็บวางหมิ่นเสี่ยงการตก,WD oil cans stored on the verge of falling,HOT,RNC,Unsafe Condition,Work at height,กระป๋องน้ำมันWDจัดเก็บวางหมิ่นเสี่ยงการตก,WD oil cans stored on the verge of falling
กองInsulationขยะ,Waste Insulation Division,HOT,RNC,Unsafe Condition,Housekeeping,กองInsulationขยะ,Waste Insulation Division
กองเก็บอุปกรณ์นั่งร้านเสี่ยงการตกลงด้านล่าง,Scaffolding equipment storage pile at risk of falling below,HOT,RNC,Unsafe Condition,Housekeeping,กองเก็บอุปกรณ์นั่งร้านเสี่ยงการตกลงด้านล่าง,Scaffolding equipment storage pile at risk of falling below
กองInsulationด้านหน้าH-R,Division Insulation Front H-R,HOT,RNC,Unsafe Condition,Housekeeping,กองInsulationด้านหน้าH-R,Division Insulation Front H-R
กองแผ่นนั่งร้านเหลือการติดตั้งวางซ้อนGratingมีโอกาสตกลง,Pile of scaffolding plates left to install. Grating stacking is likely to fall.,HOT,RNC,Unsafe Condition,Work at height,กองแผ่นนั่งร้านเหลือการติดตั้งวางซ้อนGratingมีโอกาสตกลง,Pile of scaffolding plates left to install. Grating stacking is likely to fall.
กองนั่งร้านทางเข้าออกจุดปฏิบัติงาน,"Scaffolding, entrance and exit points of operation",HOT,RNC,Unsafe Condition,Housekeeping,กองนั่งร้านทางเข้าออกจุดปฏิบัติงาน,"Scaffolding, entrance and exit points of operation"
กองอุปกรณ์นั่งร้านGratingมีPlateกระจายน้ำหนัก,Grating scaffolding equipment has a weight distribution plate.,HOT,RNC,Unsafe Condition,Scaffolding,กองอุปกรณ์นั่งร้านGratingมีPlateกระจายน้ำหนัก,Grating scaffolding equipment has a weight distribution plate.
การผูกมัดTLENotailingverticalเกิดการลูด,TLENotailingvertical binding occurs,HOT,RNC,Unsafe Condition,Lifting,การผูกมัดTLENotailingverticalเกิดการลูด,TLENotailingvertical binding occurs
คล้องเกี่ยวSafetySlingมั่นคงปลอดภัย,"Attaches to the SafetySling, stable and secure.",HOT,RNC,Unsafe Condition,Lifting,คล้องเกี่ยวSafetySlingมั่นคงปลอดภัย,"Attaches to the SafetySling, stable and secure."
คล้องสลิงผ้าใบลักษณะพันคอไก่,A canvas sling that looks like a chicken neck.,HOT,RNC,Unsafe Condition,Lifting,คล้องสลิงผ้าใบลักษณะพันคอไก่,A canvas sling that looks like a chicken neck.
คล้องสายArgonจุดเพิ่มจุดคล้องถ่ายเทน้ำหนัก,Argon strap to increase weight transfer point,HOT,RNC,Unsafe Condition,Hot Work,คล้องสายArgonจุดเพิ่มจุดคล้องถ่ายเทน้ำหนัก,Argon strap to increase weight transfer point
ค้อนเจาะรูปลายทำให้มีเชือกผูก,Hammer drills a hole at the end to secure a rope.,HOT,RNC,Unsafe Condition,Work at height,ค้อนเจาะรูปลายทำให้มีเชือกผูก,Hammer drills a hole at the end to secure a rope.
ค้อนประแจมีเชือกผูก,hammer wrench with rope,HOT,RNC,Unsafe Condition,Work at height,ค้อนประแจมีเชือกผูก,hammer wrench with rope
งานBuffแนวเชื่อมCoilเปิดWorkpermitใบทำงานจุดชั้นFireBox,Buff Welding Coil Open Workpermit Work sheet FireBox,HOT,RNC,Unsafe Condition,PTW & JSA,งานBuffแนวเชื่อมCoilเปิดWorkpermitใบทำงานจุดชั้นFireBox,Buff Welding Coil Open Workpermit Work sheet FireBox
งานBuffปิดล้อมผ้าไฟป้องกันสะเก็ดลวด,Buff work to enclose the fire cloth to prevent wire spatter.,HOT,RNC,Unsafe Condition,Hot Work,งานBuffปิดล้อมผ้าไฟป้องกันสะเก็ดลวด,Buff work to enclose the fire cloth to prevent wire spatter.
งานCSEด้านในFireBoxถอดชุดTyvekHalfMaskทิ้งหน้างานHousekeepingCOVID-,"CSE work inside FireBox, take off Tyvek HalfMask, leave in front of Housekeeping COVID-",HOT,RNC,Unsafe Condition,Housekeeping,งานCSEด้านในFireBoxถอดชุดTyvekHalfMaskทิ้งหน้างานHousekeepingCOVID-,"CSE work inside FireBox, take off Tyvek HalfMask, leave in front of Housekeeping COVID-"
งานCSEด้านในFireBoxผ้าบาดสายไฟสายArgonพาดผ่าน,"CSE work inside FireBox, cut fabric, wires, Argon cables cross over",HOT,RNC,Unsafe Condition,Electrical & Grounding,งานCSEด้านในFireBoxผ้าบาดสายไฟสายArgonพาดผ่าน,"CSE work inside FireBox, cut fabric, wires, Argon cables cross over"
งานHWITagระบุหมายต้นปลายสายArgon,The HWITag task identifies the Argon line origin.,HOT,RNC,Unsafe Condition,Hot Work,งานHWITagระบุหมายต้นปลายสายArgon,The HWITag task identifies the Argon line origin.
งานRemoveChanelTLEมีผ้าบาดสลิงผ้าใบนำมาใช้งานรอกโซ่,RemoveChanelTLE has a canvas sling cut fabric used to use the chain hoist.,HOT,RNC,Unsafe Condition,Lifting,งานRemoveChanelTLEมีผ้าบาดสลิงผ้าใบนำมาใช้งานรอกโซ่,RemoveChanelTLE has a canvas sling cut fabric used to use the chain hoist.
งานRemoveCoilชั้นปิดกั้นพื้นที่ครอบคลุม,RemoveCoil layer works to block the coverage area.,HOT,RNC,Unsafe Condition,Work at height,งานRemoveCoilชั้นปิดกั้นพื้นที่ครอบคลุม,RemoveCoil layer works to block the coverage area.
งานRe-TubeTLEชั้นวางLadderBeamรับน้ำหนักต๋งอุปกรณ์Gratingตรงคานรับน้ำหนัก>>ยกเลิกการใช้LadderBeamคล้องBeamแทน,"Re-TubeTLE work, LadderBeam rack, load-bearing equipment, Grating on the load-bearing beam >> Discontinue the use of LadderBeam to attach the beam instead.",HOT,RNC,Unsafe Condition,Lifting,งานRe-TubeTLEชั้นวางLadderBeamรับน้ำหนักต๋งอุปกรณ์Gratingตรงคานรับน้ำหนัก>>ยกเลิกการใช้LadderBeamคล้องBeamแทน,"Re-TubeTLE work, LadderBeam rack, load-bearing equipment, Grating on the load-bearing beam >> Discontinue the use of LadderBeam to attach the beam instead."
งานเชื่อมLineชั้นFireWatchสวมใส่PPEสวมใส่แว่นตาสายรัดคาง,Welding Line Class FireWatch Wear PPE Wear Glasses Chin Strap,HOT,RNC,Unsafe Condition,PPE,งานเชื่อมLineชั้นFireWatchสวมใส่PPEสวมใส่แว่นตาสายรัดคาง,Welding Line Class FireWatch Wear PPE Wear Glasses Chin Strap
งานเชื่อมLineชั้นปิดล้อมผ้าไฟครอบคลุมใช้งานผ้าไฟมีสภาพชำรุด,Line welding work. The floor is enclosed in the light cloth. It covers the use of the light cloth. There is a damaged condition.,HOT,RNC,Unsafe Condition,Hot Work,งานเชื่อมLineชั้นปิดล้อมผ้าไฟครอบคลุมใช้งานผ้าไฟมีสภาพชำรุด,Line welding work. The floor is enclosed in the light cloth. It covers the use of the light cloth. There is a damaged condition.
งานเปิดฝาTopTLEชั้นcleanฝามีการนำStandขาใช้งาน,"Open the lid TopTLE, clean floor, the lid has a stand, legs are used.",HOT,RNC,Unsafe Condition,Installation/ Alignment,งานเปิดฝาTopTLEชั้นcleanฝามีการนำStandขาใช้งาน,"Open the lid TopTLE, clean floor, the lid has a stand, legs are used."
งานใช้เครนยกขนย้ายอุปกรณ์ปิดล้อมพื้นที่ครอบคลุมทำให้เกี่ยวข้องLineoffire,The use of cranes to transport equipment to enclose an area of ​​coverage makes Lineoffire relevant.,HOT,RNC,Unsafe Condition,Lifting,งานใช้เครนยกขนย้ายอุปกรณ์ปิดล้อมพื้นที่ครอบคลุมทำให้เกี่ยวข้องLineoffire,The use of cranes to transport equipment to enclose an area of ​​coverage makes Lineoffire relevant.
งานใช้รอกยกประคองอุปกรณ์นำชุดฝุ่นสลิงผ้าใบ,Using a hoist to support the equipment to bring the canvas sling dust set,HOT,RNC,Unsafe Condition,Lifting,งานใช้รอกยกประคองอุปกรณ์นำชุดฝุ่นสลิงผ้าใบ,Using a hoist to support the equipment to bring the canvas sling dust set
งานTubeTLEปิดกั้นBarricadeครอบคลุม,TubeTLE blocked Barricade coverage,HOT,RNC,Unsafe Condition,Installation/ Alignment,งานTubeTLEปิดกั้นBarricadeครอบคลุม,TubeTLE blocked Barricade coverage
งานขนย้ายอุปกรณ์นั่งร้านผู้ปฏิบัติงานอยู่ตำแหน่งรับอุปกรณ์ถนัดติดHandrailGrating,"Moving work of scaffolding equipment, the operator is in the position to receive the equipment. HandrailGrating.",HOT,RNC,Unsafe Condition,Scaffolding,งานขนย้ายอุปกรณ์นั่งร้านผู้ปฏิบัติงานอยู่ตำแหน่งรับอุปกรณ์ถนัดติดHandrailGrating,"Moving work of scaffolding equipment, the operator is in the position to receive the equipment. HandrailGrating."
งานคัดแยกInsulationป้องกันการฟุ้งกระจายครอบคลุม,Isolation work to prevent scattering covering,HOT,RNC,Unsafe Condition,Insulation,งานคัดแยกInsulationป้องกันการฟุ้งกระจายครอบคลุม,Isolation work to prevent scattering covering
งานดึงTubePassมีคอกกั้น,TubePass pull work. There is a barrier.,HOT,RNC,Unsafe Condition,Work at height,งานดึงTubePassมีคอกกั้น,TubePass pull work. There is a barrier.
งานดึงTubeTLEชั้นแสงสว่างเพียงพอ,"TubeTLE pull work, sufficient lighting layer",HOT,RNC,Unsafe Condition,Environmental,งานดึงTubeTLEชั้นแสงสว่างเพียงพอ,"TubeTLE pull work, sufficient lighting layer"
งานดึงTubeToleBoardป้องกันตกช่องเปิดTLE,TubeToleBoard pull work to prevent falling through the TLE opening,HOT,RNC,Unsafe Condition,Work at height,งานดึงTubeToleBoardป้องกันตกช่องเปิดTLE,TubeToleBoard pull work to prevent falling through the TLE opening
งานดึงตัดTubeแสงสว่างเพียงพอ,Tube cutting work. Enough light.,HOT,RNC,Unsafe Condition,Environmental,งานดึงตัดTubeแสงสว่างเพียงพอ,Tube cutting work. Enough light.
งานดึงตัดTubeช่องเปิดมีHandrail,Tube cutting work. Open channel with handrail.,HOT,RNC,Unsafe Condition,Work at height,งานดึงตัดTubeช่องเปิดมีHandrail,Tube cutting work. Open channel with handrail.
งานดึงตัดTubeช่างทำจุดแขวนรอกคำนวณน้ำหนัก,Pulling work to cut the tube. The mechanic makes the hanging point for the pulley to calculate the weight.,HOT,RNC,Unsafe Condition,Lifting,งานดึงตัดTubeช่างทำจุดแขวนรอกคำนวณน้ำหนัก,Pulling work to cut the tube. The mechanic makes the hanging point for the pulley to calculate the weight.
งานตัดNozzleTLEปิดล้อมผ้าไฟครอบคลุมจุดปฏิบัติงานที่สูง,NozzleTLE cutting work encloses light cloth covering high operating points.,HOT,RNC,Unsafe Condition,Hot Work,งานตัดNozzleTLEปิดล้อมผ้าไฟครอบคลุมจุดปฏิบัติงานที่สูง,NozzleTLE cutting work encloses light cloth covering high operating points.
งานติดตั้งนั่งร้านปิดล้อมพื้นที่ครอบคลุม,Installation of scaffolding to enclose the covered area,HOT,RNC,Unsafe Condition,Scaffolding,งานติดตั้งนั่งร้านปิดล้อมพื้นที่ครอบคลุม,Installation of scaffolding to enclose the covered area
งานติดตั้งนั่งร้านชั้นปิดล้อมพื้นที่กั้นบันได,Installation of scaffolding to enclose the stairway area,HOT,RNC,Unsafe Condition,Scaffolding,งานติดตั้งนั่งร้านชั้นปิดล้อมพื้นที่กั้นบันได,Installation of scaffolding to enclose the stairway area
งานถอดประกอบอุปกรณ์มีการนำประแจปากตายใช้มีเชือกผูกป้องกันการตก,Disassembly and assembly work is carried out using a wrench with a rope to prevent falling.,HOT,RNC,Unsafe Condition,Work at height,งานถอดประกอบอุปกรณ์มีการนำประแจปากตายใช้มีเชือกผูกป้องกันการตก,Disassembly and assembly work is carried out using a wrench with a rope to prevent falling.
งานประกอบY-pieceชั้นแสงสว่างเพียงพอ,"Assembling the Y-piece, the floor is well lit.",HOT,RNC,Unsafe Condition,Environmental,งานประกอบY-pieceชั้นแสงสว่างเพียงพอ,"Assembling the Y-piece, the floor is well lit."
งานยกขนย้ายอุปกรณ์ปิดล้อมพื้นที่LH-,Lifting and moving equipment to enclose the area LH-,HOT,RNC,Unsafe Condition,Lifting,งานยกขนย้ายอุปกรณ์ปิดล้อมพื้นที่LH-,Lifting and moving equipment to enclose the area LH-
งานรื้อInsulationเปิดGratingทิ้ง,Dismantling the Insulation Open the Grating,HOT,RNC,Unsafe Condition,Work at height,งานรื้อInsulationเปิดGratingทิ้ง,Dismantling the Insulation Open the Grating
งานรื้อนั่งร้านปิดกั้นพื้นที่ปฏิบัติงานป้ายเตือนเป็นไปตามมาตรฐาน,"Dismantling of scaffolding, blocking the work area, warning signs are in accordance with the standards.",HOT,RNC,Unsafe Condition,Scaffolding,งานรื้อนั่งร้านปิดกั้นพื้นที่ปฏิบัติงานป้ายเตือนเป็นไปตามมาตรฐาน,"Dismantling of scaffolding, blocking the work area, warning signs are in accordance with the standards."
จอดรถจักรยานบริเวณเตา,Bicycle parking near the stove,HOT,RNC,Unsafe Condition,Housekeeping,จอดรถจักรยานบริเวณเตา,Bicycle parking near the stove
จัดทำLayoutการวางอุปกรณ์Coilนั่งร้านด้านหน้าFurnace,Make a Layout to place the coil scaffolding equipment in front of Furnace.,HOT,RNC,Unsafe Condition,Housekeeping,จัดทำLayoutการวางอุปกรณ์Coilนั่งร้านด้านหน้าFurnace,Make a Layout to place the coil scaffolding equipment in front of Furnace.
จัดวางวัสดุInsulationกีดขวางพื้นที่ปิดกั้นBarriade,Place the insulation material to block the barrier area.,HOT,RNC,Unsafe Condition,Housekeeping,จัดวางวัสดุInsulationกีดขวางพื้นที่ปิดกั้นBarriade,Place the insulation material to block the barrier area.
จัดวางสายไฟ>>แจ้งติดตั้งนั่งร้านทำเป็นรางสายไฟนำS-Hookใช้งาน,Wiring arrangement>>Informing the installation of scaffolding to make a wire track lead S-Hook to use,HOT,RNC,Unsafe Condition,Housekeeping,จัดวางสายไฟ>>แจ้งติดตั้งนั่งร้านทำเป็นรางสายไฟนำS-Hookใช้งาน,Wiring arrangement>>Informing the installation of scaffolding to make a wire track lead S-Hook to use
จำนวนPipeใช้ต๋งอุปกรณ์รับน้ำหนักเหมาะสมทำให้Gratingยุบ,The number of pipes using a suitable load-bearing device causes the grating to collapse.,HOT,RNC,Unsafe Condition,Lifting,จำนวนPipeใช้ต๋งอุปกรณ์รับน้ำหนักเหมาะสมทำให้Gratingยุบ,The number of pipes using a suitable load-bearing device causes the grating to collapse.
จุดแขวนรอกมีผ้า,Hanging point with cloth,HOT,RNC,Unsafe Condition,Lifting,จุดแขวนรอกมีผ้า,Hanging point with cloth
จุดคล้องSafetyHarnessสะดวกการเคลื่อนย้ายคล้อง,SafetyHarness attachment points for easy portability,HOT,RNC,Unsafe Condition,Work at height,จุดคล้องSafetyHarnessสะดวกการเคลื่อนย้ายคล้อง,SafetyHarness attachment points for easy portability
จุดคล้องสลิงผ้าใบมีผ้า,Canvas sling point with fabric,HOT,RNC,Unsafe Condition,Lifting,จุดคล้องสลิงผ้าใบมีผ้า,Canvas sling point with fabric
จุดทำงานประกอบเชื่อมเจียรLineมีนั่งร้านเป็นจุด,The working point of welding line has scaffolding as a point.,HOT,RNC,Unsafe Condition,Scaffolding,จุดทำงานประกอบเชื่อมเจียรLineมีนั่งร้านเป็นจุด,The working point of welding line has scaffolding as a point.
จุดปฏิบัติงานมี,work point has,HOT,RNC,Unsafe Condition,Work at height,จุดปฏิบัติงานมี,work point has
จุุดวางตู้Panel  ชั้นล่างมีSafetynetป้องกันตกชั้นบนมีการปฏิบัติงาน,"Panel cabinet placement The ground floor has a safetynet to prevent falling, the upper floor is operational.",HOT,RNC,Unsafe Condition,Work at height,จุุดวางตู้Panel  ชั้นล่างมีSafetynetป้องกันตกชั้นบนมีการปฏิบัติงาน,"Panel cabinet placement The ground floor has a safetynet to prevent falling, the upper floor is operational."
ช่องเปิดGratingด้านหน้าFireBoxAccessdoorชั้น,Front Grating Opening FireBoxAccessdoor Floor,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดGratingด้านหน้าFireBoxAccessdoorชั้น,Front Grating Opening FireBoxAccessdoor Floor
ช่องเปิดTLEติดตั้งHardBarricadeติดอุปกรณ์Waterjetใช้แผ่นนั่งร้านปิด,TLE openings Install HardBarricade Mounting Waterjet equipment Use scaffolding plates,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดTLEติดตั้งHardBarricadeติดอุปกรณ์Waterjetใช้แผ่นนั่งร้านปิด,TLE openings Install HardBarricade Mounting Waterjet equipment Use scaffolding plates
ช่องเปิดTLEปิดกั้นครอบคลุม,TLE openings blocking coverage,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดTLEปิดกั้นครอบคลุม,TLE openings blocking coverage
ช่องเปิดใส่ราวนั่งร้านแขวนTag,Openings for hanging tag scaffolding railings,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดใส่ราวนั่งร้านแขวนTag,Openings for hanging tag scaffolding railings
ช่องเปิดมีToe-BoardบริเวณCoverU-BendCrossover#,The opening has a Toe-Board on the CoverU-BendCrossover area#,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดมีToe-BoardบริเวณCoverU-BendCrossover#,The opening has a Toe-Board on the CoverU-BendCrossover area#
ช่องเปิดด้านหน้าFireBoxมีการถอดHandrail,The opening in front of the FireBox has a handrail removed.,HOT,RNC,Unsafe Condition,Work at height,ช่องเปิดด้านหน้าFireBoxมีการถอดHandrail,The opening in front of the FireBox has a handrail removed.
